BaseDateTime,MMSI,LAT,LON,SOG,Heading
67080,367373960.0,32.6227,-117.2799,3.1,118
67080,338219948.0,32.6951,-117.23187,7.0,505
67080,366685950.0,32.69867,-117.22971,9.9,80
153480,366970120.0,32.6921,-117.23064,6.9,8
153480,367373960.0,32.61807,-117.2508,6.6,81
153480,366685950.0,32.69592,-117.22975,10.8,74
153540,366685950.0,32.69879,-117.22899,10.4,79
153540,367373960.0,32.61804,-117.24915,3.3,91
153540,366970120.0,32.69438,-117.23004,10.3,306
225960,366764730.0,32.69451,-117.23174,9.9,182
225960,366888800.0,32.699555000000004,-117.23114,8.9,194
225960,367353080.0,32.61606999999999,-117.28685,9.15,95
226020,367353080.0,32.61597,-117.28513,9.0,95
226020,366888800.0,32.69821,-117.23166,8.9,189
226020,366764730.0,32.69137,-117.23141,9.8,179
226080,367353080.0,32.61577,-117.2818,8.7,93
226080,366888800.0,32.69559,-117.23191,8.6,175
226080,366764730.0,32.68844,-117.23107,7.8,181
226140,366888800.0,32.69291,-117.2316,8.6,173
226140,366764730.0,32.687235,-117.230925,7.65,179
226140,367353080.0,32.61567,-117.27843,8.4,90
226200,366888800.0,32.69017,-117.23126,8.6,174
226200,367353080.0,32.6157,-117.27527,8.3,90
226200,366764730.0,32.68603,-117.23078,7.5,178
226260,366764730.0,32.68356,-117.23038,7.6,178
226260,367353080.0,32.61577,-117.27207,8.1,90
226260,366888800.0,32.68738,-117.23094,8.6,175
226320,367353080.0,32.61583,-117.26918,7.6,90
226320,366888800.0,32.68457,-117.23063,8.6,175
226320,366764730.0,32.68119,-117.22994,7.6,178
226380,366764730.0,32.67881,-117.22955,6.2,177
226380,367353080.0,32.615865,-117.267755,7.4,90
226380,366888800.0,32.68177,-117.23032,8.7,174
226440,366888800.0,32.68039,-117.230165,8.7,174
226440,366764730.0,32.67703,-117.22931,5.4,180
226440,367353080.0,32.6159,-117.26633,7.2,90
226500,367353080.0,32.61597,-117.26368,6.9,91
226500,366888800.0,32.67901,-117.23001,8.7,174
226500,366764730.0,32.6753,-117.22919,5.4,182
226560,366888800.0,32.67659,-117.22974,8.7,175
226560,366764730.0,32.67445,-117.22917,5.4,183
226560,367353080.0,32.61602,-117.26103,6.5,90
226620,367353080.0,32.61607,-117.25865,6.3,90
226620,366764730.0,32.6736,-117.22915,5.4,184
226620,366888800.0,32.6745,-117.22948,5.8,174
226680,366888800.0,32.67269,-117.22926,5.2,175
226680,366764730.0,32.67189,-117.22913,5.2,179
226680,367353080.0,32.61612,-117.25627,6.1,91
226740,366888800.0,32.67101,-117.22914,5.1,175
226740,366764730.0,32.67032,-117.22892,4.2,178
226740,367353080.0,32.61617,-117.25387,6.2,91
226800,366764730.0,32.66895,-117.22877,4.2,175
226800,366888800.0,32.66934,-117.229,5.1,174
226800,367353080.0,32.616195,-117.25261,6.35,90
226860,366764730.0,32.6676,-117.2287,4.1,178
226860,367353080.0,32.61622,-117.25135,6.5,90
226860,366888800.0,32.66777,-117.22907,5.1,194
226920,366764730.0,32.66657,-117.22858,2.1,174
226920,367353080.0,32.61627,-117.24868,7.4,91
226920,366888800.0,32.66635,-117.22919,5.0,177
226980,366888800.0,32.66493,-117.22887,4.9,172
226980,367353080.0,32.61633,-117.24565,8.1,91
226980,366764730.0,32.66621,-117.22857,0.9,174
227040,366764730.0,32.66611,-117.228555,0.75,175
227040,366888800.0,32.66349,-117.22867,5.2,167
227040,367353080.0,32.61638,-117.24238,8.7,91
227100,366888800.0,32.66268,-117.22852,5.25,169
227100,367353080.0,32.61642,-117.23897,8.9,76
227100,366764730.0,32.66601,-117.22854,0.6,176
227160,367353080.0,32.61708,-117.23578,8.9,55
227160,366764730.0,32.66573,-117.22858,2.8,175
227160,366888800.0,32.66187,-117.22837,5.3,171
227220,366888800.0,32.66017,-117.22812,5.4,172
227220,367353080.0,32.61845,-117.23343,8.6,35
227220,366764730.0,32.664,-117.22841,6.0,179
227280,367353080.0,32.62048,-117.23175,8.7,30
227280,366764730.0,32.66233,-117.22822,6.0,177
227280,366888800.0,32.65846,-117.22774,5.4,160
227340,366888800.0,32.65681,-117.22705,5.4,160
